"","X","發生時間","發生地點","死亡受傷人數","車種","year","monthday","month","day_time","day","time","death","injured","country","country_region","city","county","district"
"1",1,"105年01月01日 02時45分","彰化縣鹿港鎮鹿工北三路工業西七路(口)","死亡1;受傷1","自用-小客車;自用-小客車",105,"01月01日 02時45分",1,"01日 02時45分",1,"2時45分",1,1,"彰化","鹿港",NA,"彰 化 縣","鹿 港 鎮"
"2",2,"105年01月01日 04時37分","宜蘭縣員山鄉金山東路397號宜16線0公里100公尺處西向內側車道","死亡1;受傷0","普通重型-機車",105,"01月01日 04時37分",1,"01日 04時37分",1,"4時37分",1,0,"宜蘭","員山",NA,"宜 蘭 縣","員 山 鄉"
"3",3,"105年01月01日 05時15分","屏東縣萬巒鄉萬和村南進路1之9號前(附近)","死亡1;受傷1","普通重型-機車;普通重型-機車",105,"01月01日 05時15分",1,"01日 05時15分",1,"5時15分",1,1,"屏東","萬巒",NA,"屏 東 縣","萬 巒 鄉"
"4",4,"105年01月01日 05時50分","屏東縣屏東市瑞光里香揚巷1-20號(附近)","死亡1;受傷0","自用-小客車;行人-人",105,"01月01日 05時50分",1,"01日 05時50分",1,"5時50分",1,0,"屏東","屏東","瑞光里香揚巷1-20號(附近)","屏 東 縣","屏 東 市"
"5",5,"105年01月01日 05時56分","彰化縣員林市萬年路1段員集路(口)","死亡1;受傷0","普通重型-機車;營業用-半聯結車",105,"01月01日 05時56分",1,"01日 05時56分",1,"5時56分",1,0,"彰化","員林","萬年路1段員集路(口)","彰 化 縣","員 林 市"
"6",6,"105年01月01日 07時23分","臺南市白河區玉豐里南89線04公里100公尺處南向外側車道","死亡1;受傷0","普通重型-機車;自用-大貨車",105,"01月01日 07時23分",1,"01日 07時23分",1,"7時23分",1,0,"臺南市白河區玉豐里南89線04公里100公尺處南向外側車道",NA,"白河","臺 南 市","白 河 區"
"7",7,"105年01月01日 08時19分","臺南市玉井區竹圍里臺3線371公里500公尺處南向慢車道","死亡1;受傷0","自用-小貨車;普通重型-機車",105,"01月01日 08時19分",1,"01日 08時19分",1,"8時19分",1,0,"臺南市玉井區竹圍里臺3線371公里500公尺處南向慢車道",NA,"玉井","臺 南 市","玉 井 區"
"8",8,"105年01月01日 12時05分","桃園市新屋區下田里龍莊路172號旁(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"01月01日 12時05分",1,"01日 12時05分",1,"12時05分",1,0,"桃園市新屋區下田里龍莊路172號旁(附近)",NA,"新屋","桃 園 市","新 屋 區"
"9",9,"105年01月01日 16時40分","南投縣南投市營南里防汛道路上(南投市路燈編號19196號處)(附近)","死亡1;受傷1","普通重型-機車;腳踏自行車-慢車",105,"01月01日 16時40分",1,"01日 16時40分",1,"16時40分",1,1,"南投","南投","營南里防汛道路上(南投","南 投 縣","南 投 市"
"10",10,"105年01月01日 17時54分","臺南市北區小東路成杏校區前(附近)","死亡1;受傷1","行人-人;普通重型-機車",105,"01月01日 17時54分",1,"01日 17時54分",1,"17時54分",1,1,"臺南市北區小東路成杏校區前(附近)",NA,"北","臺 南 市","北 區 小"
"11",11,"105年01月01日 23時15分","臺東縣卑南鄉台9線360公里600公尺處南向外側車道","死亡1;受傷0","普通重型-機車",105,"01月01日 23時15分",1,"01日 23時15分",1,"23時15分",1,0,"臺東","卑南",NA,"臺 東 縣","卑 南 鄉"
"12",12,"105年01月02日 05時45分","高雄市岡山區嘉興路641號前0公尺數台19甲65公里900公尺處北向一般車道(未劃分車道641號永興木業前","死亡1;受傷1","自用-小貨車;自用-小貨車",105,"01月02日 05時45分",1,"02日 05時45分",2,"5時45分",1,1,"高雄市岡山區嘉興路641號前0公尺數台19甲65公里900公尺處北向一般車道(未劃分車道641號永興木業前",NA,"岡山","高 雄 市","岡 山 區"
